model,ins_id,param_id,length,format,num,correct,order,total_score
Meta-Llama-3.1-8B,4,4,13,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,0,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,1,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,2,28,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,3,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,4,28,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,1,0,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,1,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,2,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,3,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,4,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,0,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,1,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,2,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,3,28,0.0,0.0,0.125,0.5,0.1375
Meta-Llama-3.1-8B,2,4,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,0,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,2,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,3,28,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,3,4,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,0,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,1,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,2,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,3,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,4,28,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,0,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,1,60,0.0,0.5,0.0,0.5,0.25
Meta-Llama-3.1-8B,0,2,60,0.0,0.3333333333333333,0.0,0.5,0.2
Meta-Llama-3.1-8B,0,3,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,4,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,0,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,1,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,2,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,3,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,4,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,0,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,1,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,2,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,3,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,4,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,0,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,2,60,0.0,0.3333333333333333,0.0,0.5,0.2
Meta-Llama-3.1-8B,3,3,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,4,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,0,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,1,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,2,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,3,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,4,60,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,0,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,1,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,2,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,3,120,0.0,0.08333333333333333,0.0,0.5,0.125
Meta-Llama-3.1-8B,0,4,120,0.0,1.0,0.10000000000000002,0.5,0.43
Meta-Llama-3.1-8B,1,0,120,0.75,0.0,0.0,0.5,0.25
Meta-Llama-3.1-8B,1,1,120,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,1,2,120,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,1,3,120,0.75,1.0,0.0,0.5,0.55
Meta-Llama-3.1-8B,1,4,120,0.0,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,1,120,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,2,2,120,0.0,0.11111111111111109,0.0,0.5,0.13333333333333333
Meta-Llama-3.1-8B,2,3,120,0.0,0.08333333333333333,0.0,0.5,0.125
Meta-Llama-3.1-8B,2,4,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,0,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,120,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,3,2,120,0.0,0.11111111111111109,0.0,0.5,0.13333333333333333
Meta-Llama-3.1-8B,3,3,120,0.0,0.5833333333333334,0.0,0.5,0.275
Meta-Llama-3.1-8B,3,4,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,0,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,1,120,0.5,1.0,0.0,0.5,0.5
Meta-Llama-3.1-8B,4,2,120,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,3,120,0.75,1.0,0.0,0.5,0.55
Meta-Llama-3.1-8B,4,4,120,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,0,0,3,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,0,1,3,0.75,1.0,0.75,1.0,0.875
Qwen2.5-72B,0,2,3,0.0,1.0,0.5,1.0,0.65
Qwen2.5-72B,0,3,3,0.0,0.5833333333333334,0.5,1.0,0.525
Qwen2.5-72B,0,4,3,0.75,1.0,0.4000000000000001,1.0,0.77
Qwen2.5-72B,1,0,3,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,1,1,3,0.75,1.0,0.5,1.0,0.8
Qwen2.5-72B,1,2,3,0.75,1.0,0.6666666666666666,1.0,0.85
Qwen2.5-72B,1,3,3,0.0,0.5833333333333334,0.5,1.0,0.525
Qwen2.5-72B,1,4,3,0.75,1.0,0.6999999999999998,1.0,0.86
Qwen2.5-72B,2,0,3,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,2,1,3,0.75,1.0,0.75,1.0,0.875
Qwen2.5-72B,2,2,3,0.0,1.0,0.5,1.0,0.65
Qwen2.5-72B,2,3,3,0.75,1.0,0.5,1.0,0.8
Qwen2.5-72B,2,4,3,0.75,1.0,0.5,1.0,0.8
Qwen2.5-72B,3,0,3,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,3,1,3,0.75,1.0,0.75,1.0,0.875
Qwen2.5-72B,3,2,3,0.75,1.0,0.16666666666666666,0.5,0.6
Qwen2.5-72B,3,3,3,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,4,3,0.5,1.0,0.6999999999999998,1.0,0.8099999999999999
Qwen2.5-72B,4,0,3,1.0,1.0,0.5,0.5,0.75
Qwen2.5-72B,4,1,3,1.0,1.0,0.75,1.0,0.925
Qwen2.5-72B,4,2,3,1.0,1.0,0.6666666666666666,1.0,0.9
Qwen2.5-72B,4,3,3,1.0,1.0,0.5,1.0,0.85
Qwen2.5-72B,4,4,3,1.0,1.0,0.6999999999999998,1.0,0.9099999999999999
Qwen2.5-72B,0,0,6,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,0,1,6,0.75,1.0,0.5,1.0,0.8
Qwen2.5-72B,0,2,6,0.0,0.5555555555555556,0.3333333333333333,1.0,0.4666666666666667
Qwen2.5-72B,0,3,6,0.0,1.0,0.375,1.0,0.6125
Qwen2.5-72B,0,4,6,0.0,1.0,0.4000000000000001,1.0,0.62
Qwen2.5-72B,1,0,6,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,1,1,6,1.0,1.0,0.5,1.0,0.85
Qwen2.5-72B,1,2,6,0.0,0.0,0.3333333333333333,1.0,0.3
Qwen2.5-72B,1,3,6,0.0,1.0,0.25,1.0,0.575
Qwen2.5-72B,1,4,6,0.0,0.0,0.4000000000000001,1.0,0.32
Qwen2.5-72B,2,0,6,0.75,1.0,0.5,0.5,0.7
Qwen2.5-72B,2,1,6,0.0,0.0,0.75,1.0,0.425
Qwen2.5-72B,2,2,6,0.0,1.0,0.5,1.0,0.65
Qwen2.5-72B,2,3,6,0.0,1.0,0.25,1.0,0.575
Qwen2.5-72B,2,4,6,0.0,1.0,0.3,1.0,0.5900000000000001
Qwen2.5-72B,3,0,6,0.0,1.0,0.5,0.5,0.55
Qwen2.5-72B,3,1,6,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,3,2,6,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,3,3,6,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,3,4,6,0.5,1.0,0.6,0.0,0.58
Qwen2.5-72B,4,0,6,1.0,1.0,0.5,0.5,0.75
Qwen2.5-72B,4,1,6,1.0,1.0,0.5,1.0,0.85
Qwen2.5-72B,4,2,6,1.0,1.0,0.5,1.0,0.85
Qwen2.5-72B,4,3,6,0.0,1.0,0.25,1.0,0.575
Qwen2.5-72B,4,4,6,0.75,1.0,0.3,1.0,0.74
Qwen2.5-72B,0,0,13,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,1,13,1.0,1.0,0.25,0.5,0.675
Qwen2.5-72B,0,2,13,1.0,1.0,0.3333333333333333,1.0,0.8
Qwen2.5-72B,0,3,13,1.0,1.0,0.375,1.0,0.8125
Qwen2.5-72B,0,4,13,1.0,1.0,0.20000000000000004,1.0,0.76
Qwen2.5-72B,1,0,13,0.0,1.0,0.5,0.5,0.55
Qwen2.5-72B,1,1,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,2,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,3,13,0.0,0.16666666666666666,0.125,0.5,0.1875
Qwen2.5-72B,1,4,13,0.75,1.0,0.5,1.0,0.8
Qwen2.5-72B,2,0,13,1.0,1.0,0.5,0.5,0.75
Qwen2.5-72B,2,1,13,1.0,1.0,0.25,0.5,0.675
Qwen2.5-72B,2,2,13,1.0,1.0,0.5,1.0,0.85
Qwen2.5-72B,2,3,13,1.0,0.5833333333333334,0.0,0.5,0.475
Qwen2.5-72B,2,4,13,1.0,1.0,0.10000000000000002,0.5,0.63
Qwen2.5-72B,3,0,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,1,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,2,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,3,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,4,13,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,4,0,13,1.0,1.0,0.5,0.5,0.75
Qwen2.5-72B,4,1,13,1.0,1.0,0.25,0.5,0.675
Qwen2.5-72B,4,2,13,1.0,1.0,0.16666666666666666,0.5,0.65
Qwen2.5-72B,4,3,13,1.0,1.0,0.25,1.0,0.775
Qwen2.5-72B,4,4,13,1.0,1.0,0.20000000000000004,1.0,0.76
Qwen2.5-72B,0,0,28,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,0,1,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,2,28,0.0,0.11111111111111109,0.16666666666666666,0.5,0.18333333333333332
Qwen2.5-72B,0,3,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,4,28,0.75,1.0,0.10000000000000002,0.5,0.58
Qwen2.5-72B,1,0,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,1,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,1,2,28,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,1,3,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,4,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,2,0,28,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,2,1,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,2,2,28,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,2,3,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,2,4,28,1.0,1.0,0.10000000000000002,0.5,0.63
Qwen2.5-72B,3,0,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,1,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,2,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,3,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,4,28,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,4,0,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,1,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,2,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,3,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,4,28,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,0,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,1,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,2,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,3,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,4,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,1,0,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,1,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,2,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,3,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,4,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,2,0,60,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,2,1,60,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,2,2,60,0.0,0.5555555555555556,0.0,0.5,0.2666666666666667
Qwen2.5-72B,2,3,60,0.0,0.4166666666666667,0.0,0.5,0.225
Qwen2.5-72B,2,4,60,0.0,0.6,0.0,0.5,0.27999999999999997
Qwen2.5-72B,3,0,60,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,1,60,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,3,2,60,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,3,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,4,60,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,4,0,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,1,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,2,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,3,60,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,4,60,1.0,1.0,0.10000000000000002,0.5,0.63
Qwen2.5-72B,0,0,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,1,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,2,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,3,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,0,4,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,1,0,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,1,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,2,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,3,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,1,4,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,2,0,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,2,1,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,2,2,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,2,3,120,0.5,1.0,0.0,0.5,0.5
Qwen2.5-72B,2,4,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,3,0,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,3,1,120,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,2,120,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,3,120,0.0,0.0,0.0,0.5,0.1
Qwen2.5-72B,3,4,120,0.75,1.0,0.0,0.5,0.55
Qwen2.5-72B,4,0,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,1,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,2,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,3,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-72B,4,4,120,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,0,0,3,0.0,1.0,0.0,0.5,0.4
Qwen2.5-32B-Instruct,0,1,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,0,2,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,0,3,3,0.75,1.0,0.75,1.0,0.875
Qwen2.5-32B-Instruct,0,4,3,0.75,1.0,0.3,1.0,0.74
Qwen2.5-32B-Instruct,1,0,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,1,1,3,1.0,1.0,0.25,0.5,0.675
Qwen2.5-32B-Instruct,1,2,3,1.0,1.0,0.3333333333333333,1.0,0.8
Qwen2.5-32B-Instruct,1,3,3,1.0,1.0,0.625,1.0,0.8875
Qwen2.5-32B-Instruct,1,4,3,1.0,1.0,0.6,1.0,0.8800000000000001
Qwen2.5-32B-Instruct,2,0,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,2,1,3,1.0,1.0,0.5,1.0,0.85
Qwen2.5-32B-Instruct,2,2,3,1.0,1.0,0.16666666666666666,0.5,0.65
Qwen2.5-32B-Instruct,2,3,3,1.0,1.0,0.875,1.0,0.9625
Qwen2.5-32B-Instruct,2,4,3,1.0,1.0,0.3,1.0,0.79
Qwen2.5-32B-Instruct,3,0,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,3,1,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,3,2,3,1.0,1.0,0.16666666666666666,0.5,0.65
Qwen2.5-32B-Instruct,3,3,3,1.0,1.0,0.375,1.0,0.8125
Qwen2.5-32B-Instruct,3,4,3,1.0,1.0,0.10000000000000002,0.5,0.63
Qwen2.5-32B-Instruct,4,0,3,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,4,1,3,1.0,1.0,0.25,0.5,0.675
Qwen2.5-32B-Instruct,4,2,3,1.0,1.0,0.16666666666666666,0.5,0.65
Qwen2.5-32B-Instruct,4,3,3,1.0,1.0,0.75,0.0,0.725
Qwen2.5-32B-Instruct,4,4,3,1.0,1.0,0.3,1.0,0.79
Qwen2.5-32B-Instruct,0,0,6,1.0,1.0,0.5,0.5,0.75
Qwen2.5-32B-Instruct,0,1,6,0.75,1.0,0.0,0.5,0.55
Qwen2.5-32B-Instruct,0,2,6,0.75,1.0,0.8333333333333334,1.0,0.9
Qwen2.5-32B-Instruct,0,3,6,0.75,1.0,0.25,1.0,0.725
Qwen2.5-32B-Instruct,0,4,6,0.75,1.0,0.20000000000000004,1.0,0.71
Qwen2.5-32B-Instruct,1,0,6,1.0,1.0,0.5,0.5,0.75
Qwen2.5-32B-Instruct,1,1,6,1.0,1.0,0.25,0.5,0.675
Qwen2.5-32B-Instruct,1,2,6,1.0,1.0,0.6666666666666666,1.0,0.9
Qwen2.5-32B-Instruct,1,3,6,1.0,1.0,0.25,1.0,0.775
Qwen2.5-32B-Instruct,1,4,6,0.75,1.0,0.3,1.0,0.74
Qwen2.5-32B-Instruct,2,0,6,1.0,1.0,0.5,0.5,0.75
Qwen2.5-32B-Instruct,2,1,6,1.0,1.0,0.25,0.5,0.675
Qwen2.5-32B-Instruct,2,2,6,1.0,1.0,0.6666666666666666,1.0,0.9
Qwen2.5-32B-Instruct,2,3,6,1.0,1.0,0.25,1.0,0.775
Qwen2.5-32B-Instruct,2,4,6,0.75,1.0,0.20000000000000004,1.0,0.71
Qwen2.5-32B-Instruct,3,0,6,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,3,1,6,1.0,1.0,0.0,0.5,0.6
Qwen2.5-32B-Instruct,3,2,6,0.75,1.0,0.0,0.5,0.55
Qwen2.5-32B-Instruct,3,3,6,1.0,1.0,0.0,0.5,0.6
